macrocytic,"['C0020639', 'C0038002', 'C0019214', 'C0239981', 'C0085702']"
macrocytosis,"['C0085702', 'C0020639', 'C0239981', 'C1096646', 'C0038002']"
macroglossium,"['C0149758', 'C0019214', 'C0030232', 'C0019825', 'C0038450']"
macrometastase,['C0034079']
macrometastasis,['C0034079']
macroscopically,"['C0241158', 'C0221198']"
macrosomia,"['C0006157', 'C0860096']"
macrosomic,['C0860096']
macrosomium,['C0006157']
maculopapular,"['C0041834', 'C0332573', 'C0241157', 'C0392699', 'C0013491']"
maddent,['C0085606']
madelung,['C0018862']
magenta,['C0429562']
magic,['C0558261']
magical,['C0233647']
magnesium,"['C0020461', 'C0020621']"
mainstem,['C0264576']
maintained,['C0232201']
maizels,['C0554980']
majesty,['C0277797']
majora,['C1384606']
malabsorption,"['C0149696', 'C0009806', 'C0011991', 'C0020639', 'C0020621']"
malabsorptive,"['C0149696', 'C0016204', 'C1291077', 'C0009806']"
maladaptation,"['C0231187', 'C0149746']"
malar,"['C0332573', 'C0041834', 'C0013491']"
malawian,['C0860096']
malezfemale,['C0558141']
malform,['C0242143']
malfunction,"['C0231187', 'C0008301']"
malfunctioning,['C0742985']
malign,"['C0024103', 'C0741302']"
malignancy,['C0221198']
mallampati,"['C0038450', 'C0037384', 'C0425488']"
mallampatus,"['C0038450', 'C0037384']"
malnourish,"['C0041667', 'C0857256', 'C0425251', 'C0497406', 'C0239981']"
malnourished,"['C0041667', 'C0011991', 'C0857256', 'C0020639']"
malnourishment,"['C0742985', 'C0020639', 'C0576456', 'C0011991', 'C0239981']"
malnutrition,"['C0011991', 'C0041667', 'C0742985', 'C0239981', 'C0020639']"
malodor,"['C0013132', 'C0085624', 'C0677500']"
malodorous,"['C0085624', 'C0232726', 'C0677500', 'C0241157', 'C0013428']"
malperfusion,['C0231187']
malpositioned,['C0857516']
malpositioning,['C0277845']
malpresentation,"['C0006157', 'C0156543', 'C0019080', 'C0000727']"
maltreatment,"['C0438696', 'C0237154']"
mammogram,['C0034079']
mammographic,['C0034079']
mammographically,"['C0034079', 'C0741302']"
mammography,['C0034079']
mamu,['C0427629']
man,"['C0497406', 'C0205254']"
mane,['C0859032']
maneb,['C0728899']
maneuver,['C0020578']
mange,['C0311395']
mania,"['C0007398', 'C0240805', 'C0022107']"
manic,"['C0022107', 'C0007398']"
manifestation,"['C0221198', 'C0019214', 'C0424749', 'C0231221']"
manip,['C0024031']
manipulative,"['C0024031', 'C0036396', 'C0030193']"
mankin,['C0241158']
mannerism,"['C0872410', 'C0233844', 'C0424230', 'C1273573', 'C0013362']"
manoeuvre,['C0020578']
manometric,"['C0232602', 'C0018834', 'C1321756']"
manometry,['C0232602']
manser,['C0554980']
mantoux,['C0032739']
many,['C1299586']
marasmus,"['C0020639', 'C0576456', 'C0019214', 'C0041667', 'C0239981']"
marble,['C0424337']
marginalization,['C0237154']
marginate,['C0443260']
marijuana,"['C0438696', 'C0237154']"
marked,"['C0205400', 'C0541911']"
marnettl,['C0085606']
marriage,['C0156543']
mascc,['C0239981']
masih,['C0019079']
masked,['C0233647']
maspin,['C1269955']
massage,"['C0030193', 'C0024031']"
masseter,['C0231530']
masson,['C0948786']
mastalgium,"['C0600142', 'C0019572', 'C1384606', 'C1291077', 'C0232726']"
mastication,"['C0013132', 'C0149758']"
masticator,['C0019825']
masticatory,['C0013132']
mastitis,['C0311395']
masturbation,"['C1384606', 'C0016579']"
matched,['C0558141']
materna,['C0860096']
maternal,['C0860096']
maternity,['C0860096']
materno,['C0860096']
mathews,['C0554980']
matricellular,['C1269955']
matrilysin,['C1269955']
matter,['C0347938']
matthews,['C0554980']
mattis,"['C0234133', 'C0233565', 'C0338656']"
maturitas,"['C0600142', 'C0239301']"
maudsley,['C0007398']
maybe,['C0233481']
mcab,['C0746619']
mcallister,['C0554980']
mcav,"['C0149746', 'C0020578', 'C0020440']"
mccaffrey,['C0554980']
mccarleyr,['C0085606']
mccormick,['C0554980']
mcdd,['C0149696']
mcdonnell,['C0554980']
mcdonough,['C0554980']
mcfarlane,['C0554980']
mci,"['C0347938', 'C0338656']"
mclean,['C0554980']
mcmahon,['C0554980']
mcnair,['C0554980']
mcnamara,['C0554980']
mctd,['C0003862']
mdct,['C0034079']
mdd,['C0030318']
mde,['C0022107']
meal,"['C0020175', 'C0043094']"
meana,['C0043144']
meani,['C0235129']
mebutate,['C0041834']
mechanic,['C0427008']
mechanical,['C0427008']
mechano,['C0231530']
mechanobiology,['C0427008']
mechanoreceptor,['C0231530']
mechanosensitivity,['C0231530']
meconium,['C0576456']
medarmannals,"['C0030554', 'C0857516', 'C0028643', 'C0872410']"
medasmannals,['C0231221']
medcrimcase,"['C0003862', 'C0019214', 'C0018965', 'C0019209']"
medcrmcase,['C1313921']
medcurrent,"['C0036396', 'C0024031']"
meddiet,['C0205254']
meddra,['C0559546']
mediastinal,['C0034079']
medicaid,['C0237154']
medication,['C0559546']
medicineintensive,"['C0239981', 'C0020639']"
medijccmindian,"['C0700292', 'C0020649', 'C0038450']"
medijpsymindian,['C0007398']
mediocre,['C0847488']
megacolon,"['C1321756', 'C0149696']"
megakaryocyte,['C0085702']
megakaryocytic,['C0085702']
megakaryopoiesis,['C0085702']
megaloblastic,['C0020639']
megestrol,['C0600142']
meibomian,['C0038990']
meibum,"['C0443260', 'C0038990']"
mela,['C0004134']
melan,['C0741302']
melancholia,"['C0007398', 'C0022107', 'C0424230']"
melancholic,"['C0022107', 'C0917799']"
melanize,"['C0443260', 'C0241157']"
melanized,['C0443260']
melanocytic,['C0741302']
melanophage,"['C0241157', 'C0332573', 'C0741302']"
melanotic,"['C0443260', 'C0038999', 'C0241157', 'C0332573']"
melas,"['C0004134', 'C0234133']"
meld,['C0239981']
melena,"['C0232726', 'C0018965', 'C0240962', 'C0232498', 'C0018932']"
mellitus,['C0000727']
mellon,['C0554980']
mellor,['C0554980']
melzack,['C0030193']
memoire,['C0233647']
memri,['C0347938']
men,['C0558141']
menarche,['C0239301']
meniere,"['C0042571', 'C0034880']"
meningitis,"['C0424749', 'C0019080']"
meningothelial,['C0741302']
meniscus,['C0241158']
menopausal,"['C0600142', 'C0239301']"
menopause,"['C0239301', 'C0600142']"
menorrhagium,"['C0600142', 'C0235250', 'C1384606', 'C0019572', 'C0232726']"
mens,['C0558141']
menschen,['C0221232']
menses,"['C0600142', 'C1384606', 'C0019572']"
menstrual,"['C0600142', 'C0019572', 'C0235250']"
menstruation,"['C0600142', 'C1384606', 'C0156543', 'C0235250', 'C0019572']"
mental,['C0030318']
mentation,"['C0872410', 'C0233565', 'C0233844', 'C0151315', 'C0085628']"
mentholated,['C0337672']
mep,['C0231530']
mephedrone,['C0728899']
mepp,['C0231530']
mercer,['C0554980']
mercurial,['C0728899']
merle,"['C0311395', 'C0018862']"
merrf,"['C0004134', 'C0234133', 'C0018991']"
merrill,['C0554980']
merry,['C0554980']
mesor,['C0751229']
mesothelial,['C0003962']
mess,"['C0558261', 'C0847488']"
met,"['C0497406', 'C0205254']"
metabijemindian,['C0235250']
metaboliser,['C0281825']
metabolizer,['C0281825']
metalloelastase,['C0743482']
metallopro,['C1269955']
metalloproteinases,['C1269955']
metamorphopsium,"['C0085635', 'C0085636']"
metamyelocyte,['C0085702']
metaplasia,['C0741302']
metaplasium,['C0741302']
metaplastic,['C0741302']
metastase,"['C0221198', 'C0034079']"
metastases,['C0024103']
metastasescancer,['C1269955']
metastasis,['C1269955']
metastasisbreast,['C1269955']
metastasiscancer,['C1269955']
metastasisclin,['C1269955']
metastasisj,['C1269955']
metastasisnat,['C1269955']
metastasizing,['C0024103']
methacholine,['C0020578']
methadone,['C0237154']
methamphetamine,['C0237154']
methemoglobinemia,"['C0728899', 'C0559546', 'C0020461', 'C0020621', 'C0020625']"
methylnitrosamino,['C0337672']
metoclopramide,['C0042963']
metritis,"['C0311395', 'C0235250']"
mets,['C0205254']
metz,['C0554980']
mfcv,"['C0231530', 'C0231230', 'C0427008']"
mferg,['C0085635']
mfn,['C0231530']
mgfr,['C0239981']
mhe,"['C0347938', 'C0233565']"
mho,['C0497406']
mht,['C0239301']
mi,['C0232201']
microabscess,['C0241157']
microalbumin,['C0239981']
microangiopathic,"['C0020639', 'C0018965', 'C0019214', 'C0239981']"
microbleed,['C0347938']
microcalcification,"['C0034079', 'C0741302']"
microcephaly,['C0004134']
microchimeric,['C0427629']
microchimerism,['C0427629']
microcirculatory,['C0700292']
microcrack,['C0241158']
microcystic,['C0741302']
microcytic,"['C0038002', 'C0020639', 'C0019214', 'C0019209', 'C0085702']"
microcytosis,"['C0085702', 'C0020639']"
microdamage,['C0241158']
microdiscectomy,['C0036396']
microenvironment,['C1269955']
microfracture,['C0241158']
microglobulin,['C0239981']
micrognathium,"['C0010520', 'C0030232', 'C0019214']"
microgravity,['C0020440']
microinfarct,['C0347938']
microinvasion,['C0741302']
microinvasive,['C0741302']
micrometastase,['C0034079']
micrometastatic,['C0034079']
micromotion,['C0427008']
micromovement,['C0427008']
micronodule,"['C0743482', 'C0034079']"
micropapillary,['C0741302']
micropeni,['C0019572']
microstate,['C0041657']
microstimulation,['C0231530']
microtrauma,"['C0008767', 'C0231530']"
microvesicular,"['C0019209', 'C1096646']"
microvolt,"['C0231530', 'C0520887']"
micturition,"['C0242453', 'C0232602', 'C0013428', 'C0014394', 'C0232726']"
middleaged,['C0205254']
midnight,['C0234450']
midventricular,"['C0520886', 'C0520887']"
midwifery,['C0860096']
mien,['C0859032']
miezinf,['C0085606']
migg,['C0746619']
mighty,['C0558261']
migraine,"['C0018681', 'C0236018', 'C0042571', 'C0040264', 'C0030193']"
migrainej,"['C0018681', 'C0042571', 'C0036572', 'C0236018']"
migraineur,"['C0236018', 'C0018681', 'C0040264', 'C0030318', 'C0423571']"
migrainous,"['C0236018', 'C0018681', 'C0042571', 'C0234544', 'C0751466']"
migran,['C0041834']
migration,['C1269955']
mild,"['C0030232', 'C0205400', 'C0231221', 'C0041834', 'C0030552']"
mildest,['C0234133']
mildly,"['C0030232', 'C0205400', 'C0040822', 'C0231221', 'C0232498']"
miles,['C0554980']
milestone,['C0233844']
milking,['C0311395']
mime,['C0859032']
minimental,['C0233565']
minora,['C1384606']
minute,['C0085631']
minutes,"['C0848168', 'C0312422']"
miosis,"['C0026961', 'C0013144', 'C0085636', 'C0037763', 'C0872410']"
miracle,"['C0847488', 'C0558261', 'C0028084']"
mirena,['C0006157']
miscarriage,"['C0156543', 'C0006157', 'C0235250']"
miscarry,['C0860096']
miscellaneous,"['C0008031', 'C0004604', 'C0000737', 'C0012833', 'C0004093']"
misconception,['C0233481']
misdiagnosed,['C0231221']
misdirected,['C0008301']
misdirection,"['C0030552', 'C0277845', 'C0038999', 'C0242143', 'C0008767']"
miserable,"['C0847488', 'C0558261', 'C0027769', 'C0028084']"
mishandle,"['C0312422', 'C0728899']"
mishap,"['C0312422', 'C0028084', 'C0039070', 'C0008301']"
mismatching,['C0700292']
misplacement,"['C0277845', 'C0264576']"
misroute,['C0242143']
missense,['C0004134']
misspell,['C0233647']
misspelling,['C0233647']
misuse,"['C0438696', 'C0237154']"
mitogenesis,['C1269955']
mlda,['C0041667']
mlv,['C0016927']
mmax,['C0231530']
mmhg,"['C0020649', 'C0231835', 'C0700292', 'C0240100', 'C0013404']"
mmp,['C1269955']
mmrc,"['C0013404', 'C0425488', 'C0034642']"
mmse,"['C0338656', 'C0234133', 'C0233565']"
mncv,['C0231530']
mnd,"['C0234133', 'C0013362', 'C0004134', 'C0233565', 'C0018991']"
mngie,['C0004134']
moab,['C0746619']
mobility,"['C0231441', 'C0427008', 'C0231230', 'C0425251']"
modality,"['C0221198', 'C0034079']"
moderate,"['C0013404', 'C0030232', 'C0041667', 'C0030193', 'C0015672']"
moderately,"['C0041667', 'C0578859']"
modic,['C0036396']
modified,['C0016512']
modiﬁable,['C0205254']
mods,['C0476273']
moduli,['C0427008']
modulus,['C0427008']
moisturizer,"['C0085624', 'C0033774']"
moldy,['C0043144']
momentarily,['C0312422']
momentary,"['C0022107', 'C0030318']"
monary,"['C0085619', 'C0019079', 'C0018800', 'C0008033']"
monochorionic,"['C0006157', 'C0860096']"
monocularly,['C0085635']
mononeuritis,['C0003862']
mononucleosis,['C0240805']
monophasic,['C0520886']
monosodium,['C0728899']
monospecific,['C0746619']
monostable,['C0542044']
monosyllabic,['C0233647']
monosyllable,['C0233647']
monosymptomatic,"['C0014394', 'C0234133', 'C1321756', 'C0042571', 'C0034880']"
monosynaptic,['C0231530']
monotonous,"['C0872410', 'C0234450']"
monotony,"['C0231230', 'C0872410', 'C0917801']"
monoxide,"['C0700292', 'C0020578']"
montebello,['C0024103']
mood,"['C0022107', 'C0030318', 'C0233492', 'C0917801', 'C0015672']"
moorfields,['C0085635']
moorman,['C0554980']
mopc,['C0746619']
morbid,"['C0497406', 'C0003123', 'C0043094', 'C0041667']"
morbidity,"['C0742985', 'C0019080', 'C0231187']"
morganr,['C0085606']
moribund,"['C0553668', 'C0857256', 'C0023380', 'C0000731', 'C0311395']"
morisky,['C0376405']
morning,['C0234450']
morningness,"['C0751229', 'C0234450', 'C0022107', 'C0917801', 'C0424337']"
morphea,['C0332573']
morphologic,['C0741302']
morphosyntactic,['C0233647']
morty,"['C0743482', 'C0034079']"
mosm,['C0235396']
mosmol,['C0235396']
mossi,['C0860096']
mother,['C0156543']
motile,['C0231441']
motionless,"['C0231441', 'C0234450']"
motogenic,['C1269955']
motoneurone,['C0231530']
motor,['C0233565']
motricity,"['C0233565', 'C0030552', 'C0233844']"
mott,['C0554980']
mottle,['C0030232']
mottled,"['C0332573', 'C0241157', 'C0443260']"
mourning,['C0028084']
mouth,"['C0013132', 'C0037383', 'C0019825', 'C0008301', 'C0010200']"
mov,"['C0040822', 'C0233565', 'C0233844']"
movat,['C0241158']
move,['C0085639']
movements,['C0233844']
movshonj,['C0085606']
moxa,"['C0677500', 'C0085624']"
moxibustion,['C0030193']
mpd,['C0038002']
mper,['C0016927']
mpmv,['C0016927']
mpsiiib,['C0347938']
mpus,"['C0086439', 'C0520887']"
mri,['C0221198']
mrs,['C0347938']
mru,['C1313921']
msfc,['C0233565']
mslt,"['C0751229', 'C0917799', 'C0234450']"
msna,"['C0231530', 'C0020578', 'C0149746', 'C0240100', 'C0520887']"
mspss,['C0578859']
msrv,['C0016927']
mtbi,['C0338656']
mtbus,['C0338656']
mtle,"['C0036572', 'C0347938']"
mtr,['C0347938']
mtrp,"['C0231530', 'C0423571', 'C0392699', 'C0024031', 'C0036396']"
mtwa,"['C0520887', 'C0232201', 'C0039070', 'C0520886']"
mtx,['C1517205']
mua,['C0231530']
muac,"['C0041667', 'C0030232', 'C0576456']"
muap,['C0231530']
mucicarmine,"['C0741302', 'C0277977']"
muck,['C0859032']
mucociliary,"['C0743482', 'C0035508']"
mucocutaneous,['C0041834']
mucolipidosis,['C0004134']
mucopurulent,"['C0241157', 'C0232498', 'C0035508', 'C0037383', 'C0038450']"
mucosa,['C0221198']
mucositis,"['C0033774', 'C0027497', 'C0011991', 'C0559546', 'C0392699']"
mucous,['C0038990']
mudra,['C0085624']
mug,['C0859032']
mullen,['C0554980']
multiallelic,['C0281825']
multiday,['C0425488']
multidetector,['C0034079']
multidiscip,"['C0013404', 'C0006625', 'C0425488']"
multifocal,['C0221198']
multigravid,"['C0860096', 'C0427629']"
multigravida,['C0860096']
multilingual,['C0233647']
multilobar,"['C0231835', 'C0034642', 'C0018800', 'C0743482', 'C0085619']"
multiloculated,['C0740844']
multimorbid,['C0871754']
multimorbidity,['C0871754']
multinodular,['C0332573']
multiorgan,"['C0020639', 'C0003962', 'C0239981', 'C0000727', 'C0038002']"
multipara,"['C0860096', 'C0006157', 'C0156543']"
multiparity,"['C0860096', 'C1384606', 'C0156543', 'C0006157', 'C0235250']"
multiparous,"['C0860096', 'C0156543', 'C0006157']"
multistability,['C0542044']
multistable,['C0542044']
multivitamin,['C0239301']
mulv,['C0016927']
mune,['C0233565']
munro,['C0554980']
mural,['C0205400']
murmur,"['C0232257', 'C0694547', 'C0006318', 'C0240100', 'C0034642']"
muscles,['C0231530']
muscular,['C0004134']
muscularity,['C0497406']
musculoskelet,['C0024031']
musculoskeletal,"['C0024031', 'C0030193', 'C0015672', 'C0036396']"
musk,['C0234238']
mutated,['C0004134']
mutation,['C0004134']
mute,"['C0859032', 'C0232517', 'C0522224']"
mutism,"['C0234133', 'C0007398', 'C0085628', 'C1273573', 'C0872410']"
muus,['C0013428']
mvc,['C0231530']
mvf,['C0149746']
mvm,['C0016927']
mvpa,"['C0205254', 'C0497406']"
mvt,['C0231530']
mwoa,['C0236018']
myalgic,['C0015672']
myalgium,"['C0231528', 'C0003862', 'C0231218', 'C0004093', 'C0012833']"
myasthenic,"['C0020461', 'C1321756', 'C0020621', 'C0037763']"
mycolactone,['C0241157']
mydriatic,['C0026961']
myectomy,['C0232201']
myelinolysis,"['C0020625', 'C0020639', 'C0020621', 'C0347938', 'C0239981']"
myelitis,['C0030552']
myeloblast,['C0085702']
myelocyte,['C0085702']
myelopathy,"['C0036396', 'C0030552']"
myelopoiesis,['C0085702']
myeloproliferation,['C0085702']
myelosuppression,"['C1096646', 'C0559546']"
myelotoxicity,['C1096646']
myenteric,['C1321756']
myocarditis,['C0018800']
myocardium,['C0241158']
myoclonic,"['C0004134', 'C0036572', 'C0234133', 'C0009024', 'C0040822']"
myoelectric,['C0231530']
myoelectrical,"['C0232602', 'C1291077', 'C0016204', 'C0231230', 'C0231530']"
myofascial,"['C0024031', 'C0231530', 'C0036396']"
myofiber,['C0241158']
myofibre,['C0241158']
myoglobinurium,"['C0020621', 'C0020639', 'C0231528', 'C0020461', 'C0239981']"
myography,['C0231530']
myomectomy,['C0006157']
myonecrosis,"['C0013491', 'C0019080']"
myopathy,['C0004134']
myoplasmic,['C0235396']
myositis,['C0003862']
myotonic,['C0004134']
myotonium,"['C0004134', 'C0037763']"
myotoxicity,['C0559546']
myoﬁber,['C0241158']
myoﬁbers,['C0241158']
myoﬁbre,['C0241158']
myoﬁbroblast,['C0241158']
myoﬁbroblasts,['C0241158']
myxedema,"['C0020621', 'C0032617', 'C0020639', 'C0003862', 'C0019214']"
myxofibrosarcoma,['C0741302']
myxomatous,['C0241158']
n,['C0004604']
naa,['C0347938']
nadir,"['C1517205', 'C0239981']"
naevus,['C0332573']
nagana,"['C0751229', 'C0011991']"
nagging,"['C0233481', 'C0558261', 'C0847488']"
naion,"['C0026961', 'C0085635']"
nairna,['C0085606']
nanobacterium,['C1313921']
nap,"['C0751229', 'C0234450']"
nape,['C0038999']
napping,"['C0751229', 'C0338656', 'C0014394', 'C0037384', 'C0234450']"
naranjo,"['C0559546', 'C0033774']"
narcolepsy,"['C0917799', 'C0751229', 'C1321756']"
narcoleptic,"['C0917799', 'C0751229']"
narcosis,"['C0020578', 'C0728899']"
narghile,['C0337672']
narrate,['C0558261']
narrowing,"['C0205400', 'C0264576']"
nary,['C0018800']
nasal,['C0010200']
nasalance,['C0231890']
nasally,['C1260880']
nasg,"['C0006157', 'C0860096']"
nasogastric,['C0038450']
nasolacrimal,['C0026961']
nasopharyngitis,"['C0004093', 'C0231528', 'C0003862', 'C0012833', 'C0000737']"
nasty,"['C0558261', 'C0847488']"
natriuresis,"['C0235396', 'C0020625', 'C0020461']"
nature,['C1299586']
nawm,['C0347938']
nba,['C0859032']
nbium,"['C0234133', 'C0004134']"
nbte,"['C0006318', 'C0234544']"
nbv,['C0016927']
nbw,['C0860096']
nccp,"['C0018834', 'C1321756', 'C0235710', 'C0039070', 'C0086439']"
ncl,['C0004134']
ncpap,"['C0425488', 'C0020578', 'C0700292']"
ncse,"['C0036572', 'C0234544', 'C0085628', 'C0234133', 'C0007398']"
ncv,['C0231530']
nd,['C0030232']
ndma,['C0728899']
ndph,"['C0018681', 'C0007398', 'C0240805', 'C0236018', 'C0036396']"
necessity,['C1299586']
neck,['C0019825']
necroinflammation,['C1096646']
necroinflammatory,['C1096646']
necrolysis,"['C0559546', 'C0041834', 'C0033774']"
necropsy,['C0553668']
necrose,['C0008767']
necrotic,"['C0205400', 'C0221198', 'C0241158']"
necrotising,['C0019080']
necrotize,['C0019080']
ned,"['C0018932', 'C0013362']"
neecham,['C0424230']
need,['C1299586']
needling,"['C0423571', 'C0677500', 'C0030193']"
neelsen,['C0032739']
nef,['C0016927']
neg,"['C0018932', 'C0424749']"
nega,['C0018932']
negation,['C0233647']
negative,"['C0032739', 'C0277977', 'C0233492']"
neiguan,['C0030193']
nelsonc,['C0085606']
nelsons,['C0085606']
neoangiogenesis,['C1269955']
neocartilage,['C0241158']
neoformation,['C0241158']
neointima,['C0241158']
neointimal,['C0241158']
neonatal,['C0576456']
neonate,['C0576456']
neonatology,['C0006157']
neophobia,['C0424337']
neoplasia,['C0741302']
neoplastic,['C0741302']
neopterin,['C1405524']
neovascularity,['C0241158']
neovessel,['C0241158']
nep,['C0234238']
nepafenac,['C0026961']
nephritic,"['C0020639', 'C0239981', 'C0018965', 'C0020461', 'C0032617']"
nephro,['C0020625']
nephrocalcinosis,"['C0020621', 'C0032617', 'C0020461', 'C0020625']"
nephrogram,['C1313921']
nephrolijnindian,"['C0239981', 'C1313921']"
nephrolindian,['C0239981']
nephrolithiasis,"['C0242453', 'C0020621', 'C0020461', 'C0020625', 'C0032617']"
nephrological,"['C0020625', 'C0239981', 'C0020461', 'C0020639', 'C0020621']"
nephrosis,"['C0032617', 'C0020639']"
nephrostomy,['C1313921']
nephrotic,"['C0020625', 'C0032617']"
nephrotoxic,"['C0020461', 'C0239981', 'C0728899', 'C0020625']"
nephrotoxicity,"['C0020461', 'C0020625', 'C0728899', 'C1096646']"
nephrotoxin,"['C0020461', 'C0239981', 'C0028961', 'C0728899', 'C0020625']"
nerd,['C0018834']
nervosa,"['C0003123', 'C0020175', 'C0030318']"
neta,['C0003126']
neue,['C0221232']
neuen,['C0221232']
neuralgia,"['C0036396', 'C0018681', 'C0042571', 'C0392699', 'C0423571']"
neuralgic,"['C0423571', 'C0030554', 'C0036396', 'C0392699', 'C0042571']"
neuralgiform,"['C0085636', 'C0026961', 'C0423571']"
neurally,['C0041657']
neuraxial,['C0006157']
neuritis,"['C0030552', 'C0392699']"
neuroaxonal,['C0004134']
neurobehavioral,['C0338656']
neuroblastic,['C0741302']
neurocognition,['C0338656']
neurocognitive,"['C0338656', 'C0233565']"
neurocritical,['C0578150']
neurocutaneous,['C0332573']
neuroenergetic,['C0347938']
neurofibroma,['C0332573']
neurofunctional,['C0338656']
neurogastroenterol,['C1321756']
neurogenomics,['C0338656']
neurohormonal,['C0149746']
neurohumoral,['C0149746']
neuroimaging,['C0347938']
neuroimmunological,['C0240805']
neurolann,"['C0030552', 'C0234133', 'C0036572']"
neurolbmc,"['C0338656', 'C0233565']"
neurologic,"['C0030552', 'C0151315', 'C0018991', 'C0030554', 'C0036572']"
neurological,"['C0018991', 'C0030552', 'C0234133', 'C0036572', 'C0233565']"
neurologie,['C0221232']
neurology,['C0234133']
neurolysis,['C0036396']
neuroma,"['C0040264', 'C0423571', 'C0221198', 'C0392699', 'C0034880']"
neurometabolic,"['C0347938', 'C0338656']"
neuromotor,"['C0233565', 'C0233844', 'C0338656']"
neuromuscular,['C0522224']
neuromusculoskeletal,"['C0024031', 'C0233565']"
neuronopathic,['C0234133']
neuronopathy,"['C0004134', 'C0234133', 'C0242143', 'C0030552']"
neuropathic,['C0030193']
neuropediatric,"['C0234133', 'C0007398', 'C0013362']"
neurophysiologic,"['C0040264', 'C0034880', 'C0040822']"
neurophysiological,['C0040264']
neurophysiologically,['C0040264']
neurophysiologist,['C0231530']
neuroplastic,['C0040264']
neuropsychiatric,"['C0234133', 'C0240805', 'C0007398', 'C0030318', 'C0917799']"
neuropsychobiology,['C0007398']
neuropsychologic,['C0338656']
neuropsychological,['C0338656']
neuroradiologic,['C0234133']
neurorehabil,"['C0018991', 'C0002416']"
neurosensory,"['C0034880', 'C0003126']"
neurosis,"['C0007398', 'C0424230', 'C0028084', 'C0027769', 'C0917801']"
neurostimulation,"['C0040264', 'C0231530']"
neurostimulator,['C0231530']
neurotic,['C0022107']
neurotomy,['C0036396']
neurotoxic,['C0728899']
neurotoxicity,['C0728899']
neurourol,"['C0242453', 'C0014394']"
neurourology,"['C0242453', 'C0014394']"
neurovascular,['C0241158']
neuter,['C0311395']
neutering,['C0311395']
neutralize,['C0746619']
neutropaenia,"['C1096646', 'C0004093', 'C0011991', 'C0559546', 'C0744492']"
neutrophile,['C0085702']
neutrophilia,"['C0085702', 'C0038002', 'C0743482', 'C0700292']"
neutrophilic,"['C0085702', 'C0743482']"
nevi,['C0741302']
nevus,['C0332573']
newborn,['C0576456']
newness,['C0233647']
nfatrix,['C1269955']
nfvppa,['C0233647']
ngai,['C0554980']
ngal,['C0239981']
nhane,['C0337672']
nhanes,"['C0041667', 'C0497406', 'C0337672']"
nibble,"['C0037383', 'C0311395', 'C0085624']"
niccd,['C0020639']
nicht,['C0221232']
nicth,"['C0032617', 'C0003962']"
nicu,['C0576456']
nidcd,"['C0234133', 'C0013362']"
nidus,"['C1313921', 'C0241158']"
night,"['C0234450', 'C0232292']"
nightly,"['C0234450', 'C0751229', 'C0013144', 'C0917801', 'C0312422']"
nighttime,"['C0751229', 'C0234450', 'C0037384']"
nigrican,"['C0019572', 'C0332573']"
nihl,"['C0034880', 'C0040264']"
nimmannitya,['C0240805']
nimv,"['C0425488', 'C0700292']"
nipd,['C0427629']
nippv,"['C0700292', 'C0425488', 'C0020578', 'C0020440']"
nipt,"['C0427629', 'C0006157']"
nitroglycerine,['C0026961']
nium,['C0234133']
niv,"['C0425488', 'C0700292']"
nka,['C0235396']
nkcc,['C0235396']
nlatrix,['C1269955']
nle,['C0427629']
nlechanical,['C0427008']
nletastasis,['C1269955']
nlonoclonal,['C0746619']
nlonocyte,['C0085702']
nlotor,['C0233565']
nlphl,['C0741302']
nlst,['C0034079']
nms,"['C0020625', 'C0007398']"
nmss,"['C0338656', 'C0234133']"
nnal,['C0337672']
nnh,['C0559546']
nntb,"['C0559546', 'C0009806', 'C0000727', 'C0016204']"
nobody,"['C0558261', 'C0847488']"
nocebo,['C0030318']
nociception,['C0030193']
nocturia,"['C0014394', 'C0232726', 'C0242453', 'C1291077', 'C0009806']"
nocturium,"['C0014394', 'C0242453', 'C1291077', 'C0600142', 'C0032617']"
nocturnal,"['C0014394', 'C0037384', 'C0751229', 'C0013144', 'C0234450']"
nodding,"['C0233844', 'C0009024', 'C0872410', 'C0013362', 'C1273573']"
nodosum,"['C0041834', 'C0003862', 'C0033774']"
nodular,"['C0332573', 'C0221198', 'C0205400', 'C0241157']"
nodularity,['C0205400']
nodule,"['C0221198', 'C0034079', 'C0332573', 'C0241157', 'C0205400']"
noisiness,['C1299586']
noisy,['C0542044']
nomid,['C0018862']
nominalization,['C0233647']
nominative,['C0233647']
nonacupoint,['C0231530']
nonacute,"['C0024031', 'C0036396']"
nonadherence,['C0237154']
nonaerated,"['C0264576', 'C0743482']"
nonagenarian,['C0871754']
nonanemic,"['C0239981', 'C0020639']"
nonarteritic,['C0026961']
nonarthritic,['C0018862']
nonatopic,['C0337672']
noncalcified,"['C0034079', 'C0743482']"
noncardiac,['C0039070']
noncaseating,['C0241157']
nonclassic,['C0019572']
noncognitive,"['C0338656', 'C0424337']"
noncompliance,['C0559546']
nonconformity,['C0558141']
nonconsanguineous,['C0860096']
noncontributory,"['C0277797', 'C0578150', 'C0240962', 'C0740844', 'C0232498']"
nonconvulsive,"['C0036572', 'C0234544', 'C0085628', 'C0234133', 'C0007398']"
noncooperative,['C0542044']
noncoronary,['C0520886']
noncritical,['C0578150']
nondaily,['C0337672']
nondemented,['C0338656']
